2026-09-06 02:23:22.912 | INFO     | amisim.application | 0.00/0.00s | - -> Settings loaded
2026-09-06 02:23:22.945 | INFO     | amisim.application | 0.00/0.00s | - -> Settings loaded
2026-09-06 02:23:22.963 | INFO     | amisim.application | 0.00/0.00s | - -> Default settings model loaded
2026-09-06 02:23:34.160 | INFO     | amisim.application | 0.00/0.00s | - -> Settings loaded
2026-09-06 02:23:34.192 | INFO     | amisim.application | 0.00/0.00s | - -> Settings loaded
2026-09-06 02:23:34.210 | INFO     | amisim.application | 0.00/0.00s | - -> Default settings model loaded
2026-09-06 02:37:02.827 | INFO     | amisim.application | 0.00/0.00s | - -> Settings loaded
2026-09-06 02:37:02.872 | INFO     | amisim.application | 0.00/0.00s | - -> Settings loaded
2026-09-06 02:37:02.898 | INFO     | amisim.application | 0.00/0.00s | - -> Default settings model loaded
2026-09-06 02:37:02.917 | INFO     | amisim.application | 0.00/0.00s | - -> Settings loaded
2026-09-06 02:55:40.479 | INFO     | amisim.application | 0.00/0.00s | - -> Settings loaded
2026-09-06 02:55:40.493 | WARNING  | amisim.setting | 0.01/0.01s | - -> Unknown settings section detected: AI. Creating dynamic section at runtime.
2026-09-06 02:55:40.493 | WARNING  | amisim.setting | 0.00/0.01s | - -> Unknown settings field detected: AI.AGENT. Registering dynamic runtime field as string.
2026-09-06 02:55:40.493 | WARNING  | amisim.setting | 0.00/0.01s | - -> Unknown settings section detected: BUNDLED. Creating dynamic section at runtime.
2026-09-06 02:55:40.494 | WARNING  | amisim.setting | 0.00/0.02s | - -> Unknown settings field detected: BUNDLED.DEBUGPY_PATH. Registering dynamic runtime field as string.
2026-09-06 02:55:40.494 | WARNING  | amisim.setting | 0.00/0.02s | - -> Unknown settings section detected: CONDA. Creating dynamic section at runtime.
2026-09-06 02:55:40.494 | WARNING  | amisim.setting | 0.00/0.02s | - -> Unknown settings field detected: CONDA.DEFAULT_ENV. Registering dynamic runtime field as string.
2026-09-06 02:55:40.494 | WARNING  | amisim.setting | 0.00/0.02s | - -> Unknown settings field detected: CONDA.EXE. Registering dynamic runtime field as string.
